Log Garagem Cliente 3: Veiculo[id=2, cor=Verde, tipo=Sedan, estacao=1, funcionario=4, pos=1] (pos=0)
Log Garagem Cliente 1: Veiculo[id=1, cor=Vermelho, tipo=SUV, estacao=1, funcionario=2, pos=0] (pos=0)
Log Garagem Cliente 2: Veiculo[id=11, cor=Verde, tipo=SUV, estacao=4, funcionario=5, pos=10] (pos=0)
Log Garagem Cliente 16: Veiculo[id=10, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=9] (pos=0)
Log Garagem Cliente 15: Veiculo[id=9, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=8] (pos=0)
Log Garagem Cliente 10: Veiculo[id=8, cor=Verde, tipo=Sedan, estacao=4, funcionario=4, pos=7] (pos=0)
Log Garagem Cliente 9: Veiculo[id=7, cor=Vermelho, tipo=SUV, estacao=4, funcionario=1, pos=6] (pos=0)
Log Garagem Cliente 6: Veiculo[id=6, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=5] (pos=0)
Log Garagem Cliente 14: Veiculo[id=5, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=4] (pos=0)
Log Garagem Cliente 8: Veiculo[id=4, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=3] (pos=0)
Log Garagem Cliente 4: Veiculo[id=3, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=2] (pos=0)
Log Garagem Cliente 18: Veiculo[id=19, cor=Vermelho, tipo=SUV, estacao=3, funcionario=3, pos=18] (pos=0)
Log Garagem Cliente 20: Veiculo[id=14, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=13] (pos=0)
Log Garagem Cliente 7: Veiculo[id=13, cor=Vermelho, tipo=SUV, estacao=3, funcionario=2, pos=12] (pos=0)
Log Garagem Cliente 5: Veiculo[id=12, cor=Azul, tipo=Sedan, estacao=3, funcionario=5, pos=11] (pos=0)
Log Garagem Cliente 11: Veiculo[id=22, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=21] (pos=0)
Log Garagem Cliente 19: Veiculo[id=23, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=22] (pos=0)
Log Garagem Cliente 12: Veiculo[id=25, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=24] (pos=0)
Log Garagem Cliente 15: Veiculo[id=32, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=31] (pos=1)
Log Garagem Cliente 10: Veiculo[id=28, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=1, pos=27] (pos=1)
Log Garagem Cliente 9: Veiculo[id=29, cor=Verde, tipo=SUV, estacao=1, funcionario=4, pos=28] (pos=1)
Log Garagem Cliente 3: Veiculo[id=27, cor=Azul, tipo=SUV, estacao=2, funcionario=4, pos=26] (pos=1)
Log Garagem Cliente 8: Veiculo[id=35, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=34] (pos=1)
Log Garagem Cliente 17: Veiculo[id=33, cor=Azul, tipo=SUV, estacao=4, funcionario=2, pos=32] (pos=0)
Log Garagem Cliente 14: Veiculo[id=30, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=29] (pos=1)
Log Garagem Cliente 2: Veiculo[id=40, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=3, pos=39] (pos=1)
Log Garagem Cliente 18: Veiculo[id=36, cor=Azul, tipo=Sedan, estacao=4, funcionario=3, pos=35] (pos=1)
Log Garagem Cliente 1: Veiculo[id=39, cor=Azul, tipo=SUV, estacao=3, funcionario=3, pos=38] (pos=1)
Log Garagem Cliente 16: Veiculo[id=41, cor=Verde, tipo=SUV, estacao=1, funcionario=1, pos=0] (pos=1)
Log Garagem Cliente 13: Veiculo[id=44, cor=Verde, tipo=Sedan, estacao=4, funcionario=1, pos=3] (pos=0)
Log Garagem Cliente 20: Veiculo[id=43, cor=Vermelho, tipo=SUV, estacao=4, funcionario=4, pos=2] (pos=1)
Log Garagem Cliente 7: Veiculo[id=46, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=5] (pos=1)
Log Garagem Cliente 5: Veiculo[id=47, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=6] (pos=1)
Log Garagem Cliente 15: Veiculo[id=48, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=7] (pos=2)
Log Garagem Cliente 6: Veiculo[id=49, cor=Vermelho, tipo=SUV, estacao=4, funcionario=5, pos=8] (pos=1)
Log Garagem Cliente 4: Veiculo[id=51, cor=Azul, tipo=SUV, estacao=3, funcionario=2, pos=10] (pos=1)
Log Garagem Cliente 11: Veiculo[id=53, cor=Verde, tipo=SUV, estacao=4, funcionario=3, pos=12] (pos=1)
Log Garagem Cliente 3: Veiculo[id=15, cor=Azul, tipo=SUV, estacao=2, funcionario=2, pos=14] (pos=2)
Log Garagem Cliente 19: Veiculo[id=54, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=13] (pos=1)
Log Garagem Cliente 10: Veiculo[id=52, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=5, pos=11] (pos=2)
Log Garagem Cliente 12: Veiculo[id=55, cor=Vermelho, tipo=SUV, estacao=1, funcionario=4, pos=14] (pos=1)
Log Garagem Cliente 14: Veiculo[id=57, cor=Azul, tipo=SUV, estacao=2, funcionario=3, pos=16] (pos=2)
Log Garagem Cliente 9: Veiculo[id=58, cor=Vermelho, tipo=Sedan, estacao=3, funcionario=3, pos=17] (pos=2)
Log Garagem Cliente 18: Veiculo[id=16, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=3, pos=15] (pos=2)
Log Garagem Cliente 2: Veiculo[id=60, cor=Azul, tipo=Sedan, estacao=1, funcionario=3, pos=19] (pos=2)
Log Garagem Cliente 16: Veiculo[id=17, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=16] (pos=2)
Log Garagem Cliente 1: Veiculo[id=61, cor=Vermelho, tipo=SUV, estacao=1, funcionario=1, pos=20] (pos=2)
Log Garagem Cliente 8: Veiculo[id=63, cor=Azul, tipo=SUV, estacao=4, funcionario=4, pos=22] (pos=2)
Log Garagem Cliente 13: Veiculo[id=18, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=17] (pos=1)
Log Garagem Cliente 7: Veiculo[id=64, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=1, pos=23] (pos=2)
