Log Producao Fabrica: Veiculo[id=1, cor=Vermelho, tipo=SUV, estacao=1, funcionario=2, pos=0]
Log Producao Fabrica: Veiculo[id=9, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=8]
Log Venda Fabrica: Veiculo[id=3, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=2] -> Loja 3 (pos=0)
Log Venda Fabrica: Veiculo[id=4, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=3] -> Loja 3 (pos=1)
Log Venda Fabrica: Veiculo[id=2, cor=Verde, tipo=Sedan, estacao=1, funcionario=4, pos=1] -> Loja 2 (pos=0)
Log Venda Fabrica: Veiculo[id=6, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=5] -> Loja 2 (pos=1)
Log Venda Fabrica: Veiculo[id=7, cor=Vermelho, tipo=SUV, estacao=4, funcionario=1, pos=6] -> Loja 2 (pos=2)
Log Venda Fabrica: Veiculo[id=8, cor=Verde, tipo=Sedan, estacao=4, funcionario=4, pos=7] -> Loja 2 (pos=3)
Log Venda Fabrica: Veiculo[id=9, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=8] -> Loja 2 (pos=4)
Log Venda Fabrica: Veiculo[id=1, cor=Vermelho, tipo=SUV, estacao=1, funcionario=2, pos=0] -> Loja 1 (pos=0)
Log Producao Fabrica: Veiculo[id=8, cor=Verde, tipo=Sedan, estacao=4, funcionario=4, pos=7]
Log Producao Fabrica: Veiculo[id=7, cor=Vermelho, tipo=SUV, estacao=4, funcionario=1, pos=6]
Log Producao Fabrica: Veiculo[id=6, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=5]
Log Producao Fabrica: Veiculo[id=5, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=4]
Log Producao Fabrica: Veiculo[id=4, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=3]
Log Producao Fabrica: Veiculo[id=3, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=2]
Log Producao Fabrica: Veiculo[id=2, cor=Verde, tipo=Sedan, estacao=1, funcionario=4, pos=1]
Log Producao Fabrica: Veiculo[id=16, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=3, pos=15]
Log Producao Fabrica: Veiculo[id=17, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=16]
Log Producao Fabrica: Veiculo[id=15, cor=Azul, tipo=SUV, estacao=2, funcionario=2, pos=14]
Log Producao Fabrica: Veiculo[id=14, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=13]
Log Producao Fabrica: Veiculo[id=13, cor=Vermelho, tipo=SUV, estacao=3, funcionario=2, pos=12]
Log Producao Fabrica: Veiculo[id=12, cor=Azul, tipo=Sedan, estacao=3, funcionario=5, pos=11]
Log Venda Fabrica: Veiculo[id=11, cor=Verde, tipo=SUV, estacao=4, funcionario=5, pos=10] -> Loja 1 (pos=1)
Log Venda Fabrica: Veiculo[id=12, cor=Azul, tipo=Sedan, estacao=3, funcionario=5, pos=11] -> Loja 1 (pos=2)
Log Venda Fabrica: Veiculo[id=10, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=9] -> Loja 2 (pos=5)
Log Venda Fabrica: Veiculo[id=14, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=13] -> Loja 2 (pos=6)
Log Venda Fabrica: Veiculo[id=15, cor=Azul, tipo=SUV, estacao=2, funcionario=2, pos=14] -> Loja 2 (pos=7)
Log Venda Fabrica: Veiculo[id=16, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=3, pos=15] -> Loja 2 (pos=8)
Log Venda Fabrica: Veiculo[id=17, cor=Verde, tipo=SUV, estacao=1, funcionario=5, pos=16] -> Loja 2 (pos=9)
Log Producao Fabrica: Veiculo[id=10, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=9]
Log Producao Fabrica: Veiculo[id=11, cor=Verde, tipo=SUV, estacao=4, funcionario=5, pos=10]
Log Venda Fabrica: Veiculo[id=5, cor=Verde, tipo=SUV, estacao=3, funcionario=1, pos=4] -> Loja 3 (pos=2)
Log Producao Fabrica: Veiculo[id=20, cor=Verde, tipo=Sedan, estacao=4, funcionario=3, pos=19]
Log Venda Fabrica: Veiculo[id=18, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=17] -> Loja 2 (pos=10)
Log Venda Fabrica: Veiculo[id=20, cor=Verde, tipo=Sedan, estacao=4, funcionario=3, pos=19] -> Loja 2 (pos=11)
Log Producao Fabrica: Veiculo[id=19, cor=Vermelho, tipo=SUV, estacao=3, funcionario=3, pos=18]
Log Producao Fabrica: Veiculo[id=18, cor=Azul, tipo=Sedan, estacao=2, funcionario=3, pos=17]
Log Venda Fabrica: Veiculo[id=13, cor=Vermelho, tipo=SUV, estacao=3, funcionario=2, pos=12] -> Loja 1 (pos=3)
Log Venda Fabrica: Veiculo[id=19, cor=Vermelho, tipo=SUV, estacao=3, funcionario=3, pos=18] -> Loja 3 (pos=3)
Log Producao Fabrica: Veiculo[id=21, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=20]
Log Venda Fabrica: Veiculo[id=21, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=20] -> Loja 2 (pos=12)
Log Venda Fabrica: Veiculo[id=22, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=21] -> Loja 1 (pos=4)
Log Producao Fabrica: Veiculo[id=22, cor=Vermelho, tipo=Sedan, estacao=1, funcionario=2, pos=21]
Log Producao Fabrica: Veiculo[id=23, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=22]
Log Venda Fabrica: Veiculo[id=24, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=23] -> Loja 2 (pos=13)
Log Producao Fabrica: Veiculo[id=24, cor=Azul, tipo=Sedan, estacao=4, funcionario=1, pos=23]
Log Venda Fabrica: Veiculo[id=23, cor=Verde, tipo=SUV, estacao=4, funcionario=4, pos=22] -> Loja 3 (pos=4)
Log Venda Fabrica: Veiculo[id=27, cor=Azul, tipo=SUV, estacao=2, funcionario=4, pos=26] -> Loja 3 (pos=5)
Log Venda Fabrica: Veiculo[id=28, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=1, pos=27] -> Loja 3 (pos=6)
Log Venda Fabrica: Veiculo[id=29, cor=Verde, tipo=SUV, estacao=1, funcionario=4, pos=28] -> Loja 3 (pos=7)
Log Producao Fabrica: Veiculo[id=28, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=1, pos=27]
Log Producao Fabrica: Veiculo[id=27, cor=Azul, tipo=SUV, estacao=2, funcionario=4, pos=26]
Log Venda Fabrica: Veiculo[id=26, cor=Verde, tipo=Sedan, estacao=3, funcionario=1, pos=25] -> Loja 2 (pos=14)
Log Producao Fabrica: Veiculo[id=26, cor=Verde, tipo=Sedan, estacao=3, funcionario=1, pos=25]
Log Venda Fabrica: Veiculo[id=25, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=24] -> Loja 1 (pos=5)
Log Producao Fabrica: Veiculo[id=25, cor=Vermelho, tipo=SUV, estacao=3, funcionario=4, pos=24]
Log Venda Fabrica: Veiculo[id=32, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=31] -> Loja 1 (pos=6)
Log Producao Fabrica: Veiculo[id=34, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=5, pos=33]
Log Producao Fabrica: Veiculo[id=33, cor=Azul, tipo=SUV, estacao=4, funcionario=2, pos=32]
Log Producao Fabrica: Veiculo[id=32, cor=Verde, tipo=Sedan, estacao=3, funcionario=2, pos=31]
Log Venda Fabrica: Veiculo[id=31, cor=Vermelho, tipo=SUV, estacao=2, funcionario=5, pos=30] -> Loja 2 (pos=15)
Log Producao Fabrica: Veiculo[id=31, cor=Vermelho, tipo=SUV, estacao=2, funcionario=5, pos=30]
Log Venda Fabrica: Veiculo[id=30, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=29] -> Loja 3 (pos=8)
Log Producao Fabrica: Veiculo[id=36, cor=Azul, tipo=Sedan, estacao=4, funcionario=3, pos=35]
Log Producao Fabrica: Veiculo[id=30, cor=Azul, tipo=Sedan, estacao=2, funcionario=2, pos=29]
Log Producao Fabrica: Veiculo[id=29, cor=Verde, tipo=SUV, estacao=1, funcionario=4, pos=28]
Log Venda Fabrica: Veiculo[id=35, cor=Verde, tipo=SUV, estacao=3, funcionario=5, pos=34] -> Loja 3 (pos=9)
