Log Venda Loja: Veiculo[id=3, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=2] -> Cliente 4 (Loja 3)
Log Venda Loja: Veiculo[id=2, cor=Verde, tipo=Sedan, estacao=1, funcionario=4, pos=1] -> Cliente 3 (Loja 2)
Log Venda Loja: Veiculo[id=1, cor=Vermelho, tipo=SUV, estacao=1, funcionario=2, pos=0] -> Cliente 1 (Loja 1)
Log Recebimento Loja: Veiculo[id=3, cor=Azul, tipo=SUV, estacao=2, funcionario=1, pos=2] -> Loja 3 (pos=0)
Log Recebimento Loja: Veiculo[id=4, cor=Vermelho, tipo=Sedan, estacao=2, funcionario=4, pos=3] -> Loja 3 (pos=1)
Log Recebimento Loja: Veiculo[id=2, cor=Verde, tipo=Sedan, estacao=1, funcionario=4, pos=1] -> Loja 2 (pos=0)
Log Recebimento Loja: Veiculo[id=6, cor=Azul, tipo=Sedan, estacao=3, funcionario=4, pos=5] -> Loja 2 (pos=1)
Log Recebimento Loja: Veiculo[id=7, cor=Vermelho, tipo=SUV, estacao=4, funcionario=1, pos=6] -> Loja 2 (pos=2)
Log Recebimento Loja: Veiculo[id=8, cor=Verde, tipo=Sedan, estacao=4, funcionario=4, pos=7] -> Loja 2 (pos=3)
Log Recebimento Loja: Veiculo[id=9, cor=Azul, tipo=SUV, estacao=1, funcionario=1, pos=8] -> Loja 2 (pos=4)
Log Recebimento Loja: Veiculo[id=1, cor=Vermelho, tipo=SUV, estacao=1, funcionario=2, pos=0] -> Loja 1 (pos=0)
Log Venda Loja: Veiculo[id=11, cor=Verde, tipo=SUV, estacao=4, funcionario=5, pos=10] -> Cliente 2 (Loja 1)
Log Recebimento Loja: Veiculo[id=11, cor=Verde, tipo=SUV, estacao=4, funcionario=5, pos=10] -> Loja 1 (pos=1)
Log Recebimento Loja: Veiculo[id=12, cor=Azul, tipo=Sedan, estacao=3, funcionario=5, pos=11] -> Loja 1 (pos=2)
Log Venda Loja: Veiculo[id=10, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=9] -> Cliente 16 (Loja 2)
Log Recebimento Loja: Veiculo[id=10, cor=Vermelho, tipo=Sedan, estacao=4, funcionario=2, pos=9] -> Loja 2 (pos=5)
Log Recebimento Loja: Veiculo[id=14, cor=Verde, tipo=Sedan, estacao=2, funcionario=5, pos=13] -> Loja 2 (pos=6)
Log Recebimento Loja: Veiculo[id=15, cor=Azul, tipo=SUV, estacao=2, funcionario=2, pos=14] -> Loja 2 (pos=7)
